id_final,filename,class,train_test_final,xmin,ymin,xmax,ymax,height,width
42,AEMZBKEW/AEMZBKEW_f000007.jpg,Goat,train,98.5,14.5,444.1489104116,321.5,360,640
43,AEMZBKEW/AEMZBKEW_f000008.jpg,Goat,train,88.5,14.5,437.5,321.5,360,640
44,AEMZBKEW/AEMZBKEW_f000009.jpg,Goat,train,84.5,14.5,437.5,321.5,360,640
45,AEMZBKEW/AEMZBKEW_f000010.jpg,Goat,train,70.55326876510003,14.5,437.5,333.6724137931,360,640
46,AEMZBKEW/AEMZBKEW_f000011.jpg,Goat,train,70.55326876510003,21.50000059339999,424.4999987602,333.6724137931,360,640
47,AEMZBKEW/AEMZBKEW_f000012.jpg,Goat,train,70.55326876510003,14.5,422.5,340.6724137931,360,640
48,AEQVOUDX/AEQVOUDX_f000044.jpg,Elephant,train,291.9871794872,109.55775075989999,468.8350055741,229.7316638034,360,640
49,AEQVOUDX/AEQVOUDX_f000045.jpg,Elephant,train,275.1393534002,98.55775075989999,432.8350055741,229.7316638034,360,640
50,AEQVOUDX/AEQVOUDX_f000046.jpg,Elephant,train,275.1393534002,98.55775075989999,432.8350055741,229.7316638034,360,640
51,AEQVOUDX/AEQVOUDX_f000047.jpg,Elephant,train,280.9871794872,98.55775075989999,432.8350055741,229.7316638034,360,640
52,AEQWRDMV/AEQWRDMV_f000044.jpg,Babirusa,train,18.420000000000016,124.19668246449999,302.4333333333,301.490521327,360,640
53,AEXZJFFP/AEXZJFFP_f000011.jpg,Maroon Macaque,train,258.1828060023,243.65193664130004,316.4481380964,272.2846026884,360,640
54,AEXZJFFP/AEXZJFFP_f000012.jpg,Maroon Macaque,train,258.1828060023,243.65193664130004,316.4481380964,272.2846026884,360,640
55,AEXZJFFP/AEXZJFFP_f000013.jpg,Maroon Macaque,train,258.1828060023,243.65193664130004,316.4481380964,272.2846026884,360,640
56,AEXZJFFP/AEXZJFFP_f000014.jpg,Maroon Macaque,train,258.1828060023,243.65193664130004,316.4481380964,272.2846026884,360,640
57,AEXZJFFP/AEXZJFFP_f000015.jpg,Maroon Macaque,train,258.1828060023,243.65193664130004,316.4481380964,272.2846026884,360,640
58,AEXZJFFP/AEXZJFFP_f000016.jpg,Maroon Macaque,train,260.6362632987,243.65193664130004,316.4481380964,272.2846026884,360,640
59,AGILRCNX/AGILRCNX_f000015.jpg,Wolf,train,70.49999237060001,60.37878787879998,430.5,352.5,360,640
60,AGILRCNX/AGILRCNX_f000016.jpg,Wolf,train,70.49999237060001,60.37878787879998,431.5,352.5,360,640
61,AGILRCNX/AGILRCNX_f000017.jpg,Wolf,train,70.49999237060001,60.37878787879998,429.5,351.5,360,640
62,AGILRCNX/AGILRCNX_f000018.jpg,Wolf,train,91.49999237060001,73.5,429.5,352.5,360,640
63,AGILRCNX/AGILRCNX_f000019.jpg,Wolf,train,80.49999237060001,73.5,429.5,351.5,360,640
64,AGILRCNX/AGILRCNX_f000020.jpg,Wolf,train,80.49999237060001,73.5,429.5,352.5,360,640
65,AGYCDUUF/AGYCDUUF_f000035.jpg,Impala,train,238.18171815740004,123.34360189570002,478.6182292037,292.2772618945,360,640
66,AHAEZVYU/AHAEZVYU_f000091.jpg,Leopard,train,11.041848770800001,191.49054146369997,81.0330317101,275.785233789,360,640
67,AHAEZVYU/AHAEZVYU_f000092.jpg,Leopard,train,11.041848770800001,191.49054146369997,81.0330317101,275.785233789,360,640
68,AHAEZVYU/AHAEZVYU_f000093.jpg,Leopard,train,12.5,194.0678424847,85.6046154304,275.785233789,360,640
69,AHAEZVYU/AHAEZVYU_f000094.jpg,Leopard,train,13.539638052200004,188.4905402265,86.0330346931,275.785233789,360,640
70,AHAEZVYU/AHAEZVYU_f000096.jpg,Leopard,train,13.539638052200004,188.4905402265,86.0330346931,275.785233789,360,640
71,AHKLQIKV/AHKLQIKV_f000010.jpg,Otter,train,52.42244690349999,158.0251553991,264.1967215074,244.7572897624,360,640
72,AHKLQIKV/AHKLQIKV_f000011.jpg,Otter,train,52.42244690349999,158.0251553991,264.1967215074,244.7572897624,360,640
73,AHKLQIKV/AHKLQIKV_f000012.jpg,Otter,train,52.42244690349999,158.0251553991,264.1967215074,244.7572897624,360,640
74,AHKLQIKV/AHKLQIKV_f000013.jpg,Otter,train,52.42244690349999,158.0251553991,254.1967215074,244.7572897624,360,640
75,AHKLQIKV/AHKLQIKV_f000014.jpg,Otter,train,52.42244690349999,158.0251553991,249.1967215074,244.7572897624,360,640
76,AHYCBXGD/AHYCBXGD_f000128.jpg,Kangaroo,train,360.46932996429996,47.09074733100002,535.6432430078,233.4110320285,360,640
77,AHYCBXGD/AHYCBXGD_f000129.jpg,Kangaroo,train,360.46932996429996,39.09074733100002,535.6432430078,233.4110320285,360,640
78,AHYCBXGD/AHYCBXGD_f000130.jpg,Kangaroo,train,357.46932996429996,32.52846975089999,506.38237344249995,239.41103202849996,360,640
79,AHYCBXGD/AHYCBXGD_f000131.jpg,Kangaroo,train,361.46932996429996,33.09074733100002,513.3823734425,231.4110320285,360,640
80,AHYCBXGD/AHYCBXGD_f000132.jpg,Kangaroo,train,361.46932996429996,33.09074733099999,513.3823734425,322.5,360,640
81,AHYCBXGD/AHYCBXGD_f000133.jpg,Kangaroo,train,361.4693299643001,26.09074733099999,471.07802561650004,316.5,360,640
82,AJWSYUDX/AJWSYUDX_f000018.jpg,Cheetah,train,234.86082737780004,97.96504559269998,501.6113534501,220.56677423769997,360,640
83,AJWSYUDX/AJWSYUDX_f000019.jpg,Cheetah,train,239.8281979623,97.9650455927,514.6113534501,222.9650455927,360,640
84,AJWSYUDX/AJWSYUDX_f000021.jpg,Cheetah,train,239.8281979623,97.9650455927,524.6113534501,216.9650455927,360,640
85,AKGUBCCX/AKGUBCCX_f000044.jpg,Elk,train,253.73853934469997,138.1243267675,277.64162387479996,159.3715552146,360,640
86,AKKSLXGD/AKKSLXGD_f000017.jpg,Horse,train,392.5722222222,14.5,538.6775985663,247.5,360,640
87,AKKSLXGD/AKKSLXGD_f000018.jpg,Horse,train,392.5722222222,12.5,538.6775985663,247.5,360,640
88,AKKSLXGD/AKKSLXGD_f000019.jpg,Horse,train,401.8860420681,14.5,564.3843051776,247.5,360,640
89,AKPNRXGD/AKPNRXGD_f000042.jpg,Horse,train,38.9241429292,32.21806167400001,324.670582304,268.2738880963,360,640
90,AKPNRXGD/AKPNRXGD_f000043.jpg,Horse,train,38.9241429292,32.21806167400001,324.670582304,268.2738880963,360,640
91,AKPNRXGD/AKPNRXGD_f000044.jpg,Horse,train,38.9241429292,32.21806167400001,324.670582304,268.2738880963,360,640
92,AKPNRXGD/AKPNRXGD_f000045.jpg,Horse,train,38.9241429292,32.21806167400001,324.670582304,268.2738880963,360,640
93,AKPNRXGD/AKPNRXGD_f000046.jpg,Horse,train,38.9241429292,32.21806167400001,324.670582304,268.2738880963,360,640
94,AKPNRXGD/AKPNRXGD_f000047.jpg,Horse,train,38.9241429292,32.21806167400001,324.670582304,268.2738880963,360,640
95,AKQVZTHG/AKQVZTHG_f000115.jpg,Yellow-Backed Duiker,train,347.0567317297,206.61517096829996,465.6237991584,319.0997269528,360,640
96,AKQVZTHG/AKQVZTHG_f000116.jpg,Zebra-Duiker,train,347.0567317297,206.61517096829996,465.6237991584,319.0997269528,360,640
97,AKQVZTHG/AKQVZTHG_f000117.jpg,Zebra-Duiker,train,279.2324948106,212.61517096829996,465.6237991584,319.0997269528,360,640
98,AKQVZTHG/AKQVZTHG_f000118.jpg,Zebra-Duiker,train,273.2324948106,208.92984278300003,465.6237991584,319.0997269528,360,640
99,AKQVZTHG/AKQVZTHG_f000119.jpg,Zebra-Duiker,train,269.2324948106,208.92984278299997,464.9308586175,324.1904593567999,360,640
100,AKQVZTHG/AKQVZTHG_f000120.jpg,Zebra-Duiker,train,261.2324948106,214.61517096829996,465.930856138,323.1904605436,360,640
101,AKRYLKEW/AKRYLKEW_f000034.jpg,Goat,train,360.8059929495,178.8679431072,397.9846063455,226.0214526174,360,640
102,AKRYLKEW/AKRYLKEW_f000035.jpg,Goat,train,360.8059929495,178.8679431072,397.9846063455,226.0214526174,360,640
103,AKRYLKEW/AKRYLKEW_f000036.jpg,Goat,train,360.8059929495,178.8679431072,403.0739130435,245.1078017169,360,640
104,AKRYLKEW/AKRYLKEW_f000037.jpg,Goat,train,360.8059929495,178.8679431072,397.9846063455,226.0214526174,360,640
105,AKRYLKEW/AKRYLKEW_f000038.jpg,Goat,train,351.8059920912,177.8679431072,396.9846062501,262.0214526174,360,640
106,AKRYLKEW/AKRYLKEW_f000039.jpg,Goat,train,354.8059929495,184.8679431072,393.9846063455,265.0214526174,360,640
107,AKVEINPL/AKVEINPL_f000005.jpg,Squirrel,train,1.9994112260000065,97.5,347.3634044223,306.5,360,640
108,AKVEINPL/AKVEINPL_f000006.jpg,Squirrel,train,2.0,97.5,347.5,306.5,360,640
109,AKVEINPL/AKVEINPL_f000007.jpg,Squirrel,train,6.497644903799994,97.5,347.3634044223,294.5,360,640
110,AKVEINPL/AKVEINPL_f000008.jpg,Squirrel,train,6.497644903799994,97.5,347.3634044223,294.5,360,640
111,AKVEINPL/AKVEINPL_f000009.jpg,Squirrel,train,6.497644903799994,97.5,347.3634044223,294.5,360,640
112,AKVEINPL/AKVEINPL_f000010.jpg,Squirrel,train,6.497644903799994,97.5,332.3634044223,306.5,360,640
113,AKXVOXGD/AKXVOXGD_f000038.jpg,Horse,train,27.43386773550003,35.84088213090001,502.5,335.2508896797,360,640
114,AKXVOXGD/AKXVOXGD_f000039.jpg,Horse,train,27.43386773550003,35.84088213090001,488.1573146293,349.2508896797,360,640
115,AKXVOXGD/AKXVOXGD_f000040.jpg,Horse,train,27.43386773550003,35.84088213090001,496.5,343.2508896797,360,640
116,AKXVOXGD/AKXVOXGD_f000041.jpg,Horse,train,27.43386773550003,35.84088213090001,496.5,343.2508896797,360,640
117,AKXVOXGD/AKXVOXGD_f000042.jpg,Horse,train,27.43386773550003,35.84088213090001,496.5,343.2508896797,360,640
118,AMKXNFFP/AMKXNFFP_f000036.jpg,Otter,train,415.5,149.5,522.5,174.5,360,640
119,AMKXNFFP/AMKXNFFP_f000037.jpg,Otter,train,412.5,149.5,522.5,171.5,360,640
120,AMKXNFFP/AMKXNFFP_f000038.jpg,Otter,train,415.5,149.5,522.5,171.5,360,640
121,AMKXNFFP/AMKXNFFP_f000039.jpg,Otter,train,405.1123260437,149.5,516.4105370881,174.0441696113,360,640
122,AMKXNFFP/AMKXNFFP_f000040.jpg,Otter,train,414.0188866799,149.5,508.5039761431,176.5883397713,360,640
123,AMVQFXGD/AMVQFXGD_f000039.jpg,Horse,train,8.5,160.91101801780002,349.7602230483,291.3295522394001,360,640
124,AMVQFXGD/AMVQFXGD_f000040.jpg,Horse,train,43.363636363599994,160.91101801780002,354.7602230483,279.3295522394001,360,640
125,AMVQFXGD/AMVQFXGD_f000041.jpg,Horse,train,7.5,146.91101801780002,359.7602230483,285.3295522394001,360,640
126,AMVQFXGD/AMVQFXGD_f000042.jpg,Horse,train,7.5,167.7402921419,369.7602230483,274.3295522394,360,640
127,AMVQFXGD/AMVQFXGD_f000043.jpg,Horse,train,7.5,171.7402921419,377.7602218086,266.3295534262,360,640
128,AMVQFXGD/AMVQFXGD_f000044.jpg,Horse,train,7.5,135.5,377.7602218086,266.3295534262,360,640
129,AMZSRXGD/AMZSRXGD_f000030.jpg,Horse,train,301.49560621910007,122.30321631089998,626.3029412375001,268.6723122886,360,640
130,AMZSRXGD/AMZSRXGD_f000031.jpg,Horse,train,276.49560621910007,122.30321631090001,626.3029412375001,253.6723122886,360,640
131,AMZSRXGD/AMZSRXGD_f000032.jpg,Horse,train,276.49560621910007,122.30321631090001,626.3029412375001,249.6723122886,360,640
132,AMZSRXGD/AMZSRXGD_f000033.jpg,Horse,train,269.49560621910007,122.30321631090001,593.3029412375001,237.67231228860004,360,640
133,AMZSRXGD/AMZSRXGD_f000034.jpg,Horse,train,260.49560621909995,115.30321631089998,601.3029436217,231.6723138144,360,640
134,ANEXOVYU/ANEXOVYU_f000007.jpg,Leopard,train,107.27391304349999,98.5,219.9260869565,315.5,360,640
135,ANEXOVYU/ANEXOVYU_f000008.jpg,Leopard,train,107.27391304349999,98.5,231.9260869565,315.5,360,640
136,ANEXOVYU/ANEXOVYU_f000009.jpg,Leopard,train,107.27391304349999,106.5,231.9260869565,315.5,360,640
137,ANEXOVYU/ANEXOVYU_f000010.jpg,Leopard,train,107.27391304349999,92.5,231.9260869565,315.5,360,640
138,ANEXOVYU/ANEXOVYU_f000011.jpg,Leopard,train,107.27391304349999,92.5,231.9260869565,315.5,360,640
139,ANEXOVYU/ANEXOVYU_f000012.jpg,Leopard,train,107.27391304349999,76.5,231.9260869565,315.5,360,640
140,ANGLMXGD/ANGLMXGD_f000000.jpg,Horse,train,277.74448897799994,131.8309608541,556.2075571598,339.3115841062,360,640
141,AOAMQFFP/AOAMQFFP_f000038.jpg,Maroon Macaque,train,4.5,45.5,337.3932968536,350.5,360,640
142,AOAMQFFP/AOAMQFFP_f000039.jpg,Maroon Macaque,train,98.45990739769998,45.5,337.3932968536,350.5,360,640
143,AOAMQFFP/AOAMQFFP_f000040.jpg,Maroon Macaque,train,8.5,45.5,337.3932968536,350.5,360,640
144,AOAMQFFP/AOAMQFFP_f000041.jpg,Maroon Macaque,train,8.5,45.5,337.3932968536,350.5,360,640
145,AOAMQFFP/AOAMQFFP_f000042.jpg,Maroon Macaque,train,8.5,45.5,337.3932968536,350.5,360,640
146,AOAMQFFP/AOAMQFFP_f000043.jpg,Maroon Macaque,train,8.5,45.5,346.3932968536,332.5,360,640
147,AODWXJQK/AODWXJQK_f000034.jpg,Puma,train,191.6466666667,108.84123222750002,368.9933333333,278.4573459716,360,640
148,AODWXJQK/AODWXJQK_f000036.jpg,Puma,train,191.6466666667,108.84123222750002,368.9933333333,278.4573459716,360,640
149,AOZRGCNX/AOZRGCNX_f000000.jpg,Wolf,train,4.992315047700004,136.9999694824,315.4818210794,340.0000610352,360,640
150,AOZRGCNX/AOZRGCNX_f000001.jpg,Wolf,train,4.992315047700004,136.9999694824,315.4818210794,353.5,360,640
151,AOZRGCNX/AOZRGCNX_f000002.jpg,Wolf,train,4.992315047700004,136.9999694824,315.4818210794,341.0000610352,360,640
152,AOZRGCNX/AOZRGCNX_f000003.jpg,Wolf,train,39.992315047700004,118.99996948239999,315.4818210794,341.0000610352,360,640
153,AOZRGCNX/AOZRGCNX_f000004.jpg,Wolf,train,66.88646162039998,132.9999694824,309.4818210794,341.0000610352,360,640
154,AOZRGCNX/AOZRGCNX_f000005.jpg,Wolf,train,53.992315047700004,134.5,309.4818210794,341.0000610352,360,640
155,AOZRGCNX/AOZRGCNX_f000006.jpg,Wolf,train,53.992315047700004,142.5,309.4818210794,341.0000610352,360,640
156,APEPTDUW/APEPTDUW_f000015.jpg,Baboon,train,207.86,112.2535545024,519.18,290.4004739336,360,640
157,APNJQNPL/APNJQNPL_f000011.jpg,Chimpanzee,train,121.5,88.5,505.5,359.5,360,640
158,APNJQNPL/APNJQNPL_f000012.jpg,Chimpanzee,train,121.5,88.5,505.5,359.5,360,640
159,APNJQNPL/APNJQNPL_f000013.jpg,Chimpanzee,train,121.5,88.5,505.5,359.5,360,640
160,APNJQNPL/APNJQNPL_f000014.jpg,Chimpanzee,train,121.5,88.5,505.5,359.5,360,640
161,APNJQNPL/APNJQNPL_f000015.jpg,Chimpanzee,train,121.5,88.5,505.5,359.5,360,640
162,APNJQNPL/APNJQNPL_f000016.jpg,Chimpanzee,train,121.5,101.5,505.5,359.5,360,640
163,APPQWCNX/APPQWCNX_f000132.jpg,Wolf,train,215.5,66.00001525879999,631.5,309.5,360,640
164,APPQWCNX/APPQWCNX_f000133.jpg,Wolf,train,215.5,72.00001525879999,631.5,308.5,360,640
165,APPQWCNX/APPQWCNX_f000134.jpg,Wolf,train,215.5,72.00001525879998,631.5,333.5,360,640
166,APPQWCNX/APPQWCNX_f000135.jpg,Wolf,train,218.04473176470003,72.00001525880002,631.5,310.6024734982,360,640
167,APPQWCNX/APPQWCNX_f000136.jpg,Wolf,train,215.5,72.00001525879999,631.5,311.8745583039,360,640
168,APPQWCNX/APPQWCNX_f000137.jpg,Wolf,train,218.04473176470003,72.00001525880002,631.5,310.6024734982,360,640
169,APZCCFFP/APZCCFFP_f000029.jpg,Otter,train,177.0778963322,115.72872737580002,209.6201625126,160.608378818,360,640
170,APZCCFFP/APZCCFFP_f000030.jpg,Otter,train,177.0778963322,115.72872737580002,209.6201625126,160.608378818,360,640
171,APZCCFFP/APZCCFFP_f000031.jpg,Otter,train,177.0778963322,115.72872737580002,209.6201625126,160.608378818,360,640
172,APZCCFFP/APZCCFFP_f000032.jpg,Otter,train,177.0778963322,115.72872737580002,209.6201625126,160.608378818,360,640
173,APZCCFFP/APZCCFFP_f000034.jpg,Otter,train,177.0778963322,115.72872737580002,209.6201625126,160.608378818,360,640
174,ARGPXHDP/ARGPXHDP_f000136.jpg,Chipmunk,train,172.01999999999998,17.5616113744,381.7933333333,327.9360189573,360,640
175,ARNCVXGD/ARNCVXGD_f000016.jpg,Horse,train,110.8006012024,7.984093605099986,563.6763527054,247.3220640569,360,640
176,ARNCVXGD/ARNCVXGD_f000017.jpg,Horse,train,110.8006012024,7.984093605099986,567.6763527054,280.0693950178,360,640
177,ARNCVXGD/ARNCVXGD_f000018.jpg,Horse,train,110.8006012024,7.984093605099986,566.6763527054,249.3220640569,360,640
178,ARNCVXGD/ARNCVXGD_f000019.jpg,Horse,train,110.8006012024,7.984093605099986,566.6763527054,249.3220640569,360,640
179,ARXXWUDX/ARXXWUDX_f000111.jpg,Elephant,train,490.519981004,278.12757030680007,500.7120900784,284.90134477550004,360,640
180,ARXXWUDX/ARXXWUDX_f000112.jpg,Elephant,train,490.519981004,278.12757030680007,500.7120900784,284.90134477550004,360,640
181,ARXXWUDX/ARXXWUDX_f000113.jpg,Elephant,train,490.519981004,278.12757030680007,500.7120900784,284.90134477550004,360,640
182,ASKPDTHG/ASKPDTHG_f000015.jpg,Jentink'S Duiker,train,94.41476041420002,92.44277699859998,296.2854562967,224.3565217391,360,640
183,ASKPDTHG/ASKPDTHG_f000016.jpg,Jentink'S Duiker,train,101.41476041420002,94.44277699859998,296.2854562967,224.3565217391,360,640
184,ASKPDTHG/ASKPDTHG_f000017.jpg,Jentink'S Duiker,train,101.41476041420002,94.44277699859998,296.2854562967,224.3565217391,360,640
185,ASKPDTHG/ASKPDTHG_f000018.jpg,Jentink'S Duiker,train,101.41476041420002,94.44277699859998,296.2854562967,224.3565217391,360,640
186,ASKPDTHG/ASKPDTHG_f000019.jpg,Jentink'S Duiker,train,101.41476041420002,101.44347826090001,296.2854562967,224.3565217391,360,640
187,ASTIAUUF/ASTIAUUF_f000031.jpg,Impala,train,18.420000000000016,105.42890995260001,285.3666666667,285.2819905213,360,640
188,ASTIAUUF/ASTIAUUF_f000032.jpg,Impala,train,20.126666527800012,115.3246366409,286.2199999306,283.6895966394,360,640
189,ASWFTPPV/ASWFTPPV_f000105.jpg,Mule Deer,train,244.55333333330003,96.04502369669999,436.40666666670006,253.7180094787,360,640
190,ASWFTPPV/ASWFTPPV_f000106.jpg,Mule Deer,train,244.55333333330003,96.04502369669999,436.40666666670006,253.7180094787,360,640
191,ASWFTPPV/ASWFTPPV_f000107.jpg,Mule Deer,train,244.55333333330003,96.04502369669999,436.40666666670006,253.7180094787,360,640
192,ATKVVFFP/ATKVVFFP_f000071.jpg,Otter,train,35.90791015789999,60.53949983300001,99.565833055,149.3421705234,360,640
193,ATKVVFFP/ATKVVFFP_f000072.jpg,Otter,train,35.90791015789999,60.53949983300001,99.565833055,149.3421705234,360,640
194,ATSFLXGD/ATSFLXGD_f000022.jpg,Horse,train,252.9402282827,65.8380782918,443.4184891522,330.0338078292,360,640
195,ATSFLXGD/ATSFLXGD_f000023.jpg,Horse,train,252.9402282827,65.8380782918,443.4184891522,330.0338078292,360,640
196,ATSFLXGD/ATSFLXGD_f000024.jpg,Horse,train,310.9402282827,65.8380782918,443.4184891522,330.0338078292,360,640
197,ATSFLXGD/ATSFLXGD_f000025.jpg,Horse,train,257.9402282827,67.8380782918,443.4184891522,330.0338078292,360,640
198,ATSFLXGD/ATSFLXGD_f000026.jpg,Horse,train,257.9402282827,67.8380782918,443.4184891522,330.0338078292,360,640
199,ATSFLXGD/ATSFLXGD_f000027.jpg,Horse,train,257.9402282827,67.8380782918,443.4184891522,330.0338078292,360,640
200,AUIKHGCS/AUIKHGCS_f000000.jpg,Giraffe,train,423.6413043478,74.5,490.8386287625,319.5,360,640
201,AUIKHGCS/AUIKHGCS_f000001.jpg,Giraffe,train,423.6413043478,74.5,490.8386287625,319.5,360,640
202,AUIKHGCS/AUIKHGCS_f000002.jpg,Giraffe,train,423.6413043478,74.5,490.8386287625,314.4116607774,360,640
203,AUWTIYYQ/AUWTIYYQ_f000106.jpg,Yak,train,159.21999999999997,1.3530805687000225,392.88666666669997,346.2772511848,360,640
204,AUWTIYYQ/AUWTIYYQ_f000107.jpg,Yak,train,155.80666694439998,1.3530805687000225,392.88666666669997,337.7464461145,360,640
205,AVEGIBQT/AVEGIBQT_f000029.jpg,Otter,train,8.7962962963,192.3681350114,475.9444444444,253.0116132723,360,640
206,AVEGIBQT/AVEGIBQT_f000030.jpg,Otter,train,8.7962962963,191.1430710728,475.9444444444,253.0116132723,360,640
207,AVEGIBQT/AVEGIBQT_f000031.jpg,Otter,train,8.7962962963,192.1430710728,475.9444444444,253.0116132723,360,640
208,AVEGIBQT/AVEGIBQT_f000032.jpg,Otter,train,8.7962962963,192.3681350114,475.9444444444,260.5,360,640
209,AVEGIBQT/AVEGIBQT_f000033.jpg,Otter,train,8.7962962963,194.1430724292,474.7592592593,254.5,360,640
210,AVEGIBQT/AVEGIBQT_f000034.jpg,Otter,train,8.7962962963,194.1430724292,474.7592592593,254.5,360,640
211,AWCJPXGD/AWCJPXGD_f000041.jpg,Horse,train,109.3737201365,87.61743772239998,175.4170849227,283.3505336383,360,640
212,AWCJPXGD/AWCJPXGD_f000042.jpg,Horse,train,109.37372013649998,57.5,211.5,281.3505338078,360,640
213,AWCJPXGD/AWCJPXGD_f000043.jpg,Horse,train,109.37372013649998,57.5,215.5,288.3505338078,360,640
214,AWCJPXGD/AWCJPXGD_f000044.jpg,Horse,train,109.37372013649998,51.5,217.5,288.3505338078,360,640
